model label	model fold	val spearman	test spearman
BiLSTM	1	0.5610477062269593	0.5822629553674373
BiLSTM	2	0.4504202108221076	0.4941841612926206
BiLSTM	3	0.6539311754033378	0.6501039458152903
BiLSTM	4	0.5192118638581501	0.4866627650130999
BiLSTM	5	0.4734075863763452	0.4924135971147605
BiLSTM	6	0.6202508085925558	0.6365854786066686
BiLSTM	7	0.6357915131991129	0.6451698207190028
BiLSTM	8	0.5499967253973854	0.4910075604652865
BiLSTM	9	0.6314057967398475	0.5911994178523283
BiLSTM	10	0.5720548078948008	0.5051436529030366
CNN	1	0.4584386682909723	0.5780066121442353
CNN	2	0.49799847000239095	0.5883572173757659
CNN	3	0.5851380619889399	0.5872222176501949
CNN	4	0.6106660408623515	0.5796938186075427
CNN	5	0.5751176699473226	0.5883758857299249
CNN	6	0.5705660135800195	0.5810586906463532
CNN	7	0.6187323049839516	0.5931772050898185
CNN	8	0.6714852712953037	0.601278200137811
CNN	9	0.6701921456822683	0.5842025178127477
CNN	10	0.660293448941813	0.5796806195946204
Lasso	1	0.12115052357090347	0.3265836752406524
Lasso	2	0.08569265295107929	0.3263962763274732
Lasso	3	0.3179848923639177	0.3267229023469251
Lasso	4	0.3702304212545005	0.3261208366699071
Lasso	5	0.33784892393599764	0.3270180308968433
Lasso	6	0.3387134139188529	0.3264297384113805
Lasso	7	0.3635473412883333	0.3257371177931735
Lasso	8	0.3977733498606322	0.32554202661095194
Lasso	9	0.41952889611347816	0.3251737609510113
Lasso	10	0.42322002283378857	0.3248153881210233
Ridge	1	0.1214993506718374	0.3265827893833208
Ridge	2	0.08563537857097862	0.3263443641537668
Ridge	3	0.31809723390817674	0.32658729897587124
Ridge	4	0.3702213028487419	0.3259559212766904
Ridge	5	0.3377997502588977	0.32694484873404345
Ridge	6	0.33865169408577545	0.3263015096496572
Ridge	7	0.3634300004514896	0.3256701679704709
Ridge	8	0.3976809198340125	0.3253938512164997
Ridge	9	0.4195237733081666	0.32504783391855185
Ridge	10	0.42289434947558224	0.3246666187490609
Elastic	1	0.1243683406021324	0.3265835672644039
Elastic	2	0.08915572696306888	0.326467000521175
Elastic	3	0.3190442876742843	0.32713031442174656
Elastic	4	0.3705644447222795	0.3263839739827186
Elastic	5	0.3366957927975119	0.32708034122872426
Elastic	6	0.3399120293852865	0.3268600497245856
Elastic	7	0.3630827484440072	0.32609754472732017
Elastic	8	0.3971484457438967	0.325928316770398
Elastic	9	0.4207106252322717	0.32575617756396
Elastic	10	0.4229661470344349	0.3250650360820095
Random_Forest	1	0.3947482324247489	0.4898794443665224
Random_Forest	2	0.41668290792310697	0.49045492897481
Random_Forest	3	0.4684550617108284	0.4935480009161591
Random_Forest	4	0.4981958835775141	0.4900065955334797
Random_Forest	5	0.4723996577559291	0.4914675786382291
Random_Forest	6	0.4735342819911432	0.4908365062788
Random_Forest	7	0.4961394157158422	0.4890196809757141
Random_Forest	8	0.5436900133939881	0.490774951572493
Random_Forest	9	0.5568350362111419	0.4895612871270804
Random_Forest	10	0.5653193771747711	0.4905405455745955
MLP	1	0.4813663548898772	0.5614222905040783
MLP	2	0.4585675096867679	0.5434042105421272
MLP	3	0.5377460499822386	0.5611654538519557
MLP	4	0.5518601219959764	0.5492137848190672
MLP	5	0.5230080414678198	0.5568945857257244
MLP	6	0.5296404240187547	0.5426254886270871
MLP	7	0.5431789578418694	0.5459717802956521
MLP	8	0.6115975263046253	0.5461330763776913
MLP	9	0.6178461394740102	0.5516501519797633
MLP	10	0.6089825829017217	0.5356994464218038
GBDT	1	0.3783163304468021	0.5311034352281263
GBDT	2	0.3876069126133124	0.5330835961345606
GBDT	3	0.5098964124166814	0.5369224231133497
GBDT	4	0.5686879695055448	0.5393583317831573
GBDT	5	0.5372086779674972	0.5358834915629137
GBDT	6	0.5363668228576086	0.536099825667937
GBDT	7	0.5602981771117569	0.5337776108757102
GBDT	8	0.6112493228948317	0.5352828487783033
GBDT	9	0.6219999657714715	0.5363879710594681
GBDT	10	0.6237091078845429	0.533365440185391
XGBoost	1	0.3873659905252133	0.5388802889093622
XGBoost	2	0.3943660246934269	0.5395107970798312
XGBoost	3	0.523116872488045	0.5448160764229137
XGBoost	4	0.5851143891159002	0.5436719778964421
XGBoost	5	0.5475595248761496	0.5465719780491678
XGBoost	6	0.5420696293144188	0.5461981774249866
XGBoost	7	0.5719872320643203	0.5460842464420982
XGBoost	8	0.6297007058137388	0.5441342962319953
XGBoost	9	0.6402220766798081	0.5458799600441353
XGBoost	10	0.6333774424583037	0.5421057875255312
