model label	model fold	val spearman	test spearman
BiLSTM	1	0.8754345760289759	0.9006607326039928
BiLSTM	2	0.8959431487129423	0.9002240398335505
BiLSTM	3	0.9010363597991076	0.9009062634058704
BiLSTM	4	0.9040829930993098	0.8993306375753625
BiLSTM	5	0.8983753787214045	0.9003065457154996
BiLSTM	6	0.8985626638761273	0.9000275130506741
BiLSTM	7	0.8988161641185742	0.8996368467147752
BiLSTM	8	0.8798663814428295	0.9030775262369418
BiLSTM	9	0.9105553481432296	0.9017844554620676
BiLSTM	10	0.8926082506674122	0.9003938767448871
CNN	1	0.8418315896136179	0.8701085593863424
CNN	2	0.8671973950142753	0.8690094050666323
CNN	3	0.871055784794987	0.8700348496121819
CNN	4	0.8733181052973676	0.8700790990099122
CNN	5	0.8656394957073041	0.8716749519284642
CNN	6	0.8661974793668119	0.8673158557242221
CNN	7	0.8705336963827777	0.8705606045001637
CNN	8	0.84541298182346	0.8704509065267765
CNN	9	0.8744527875610374	0.8660294834286562
CNN	10	0.8597755862300648	0.8676522328453086
Lasso	1	0.6471122062255559	0.6779138681263077
Lasso	2	0.6893734511543658	0.6782876616702772
Lasso	3	0.6805521150408319	0.6782526791996291
Lasso	4	0.6739041563844348	0.6782942222652109
Lasso	5	0.6684559714643329	0.6781996702050338
Lasso	6	0.6806791587772791	0.6782265250089261
Lasso	7	0.6751227229447418	0.6781638675016727
Lasso	8	0.6444916931424024	0.6781020914401051
Lasso	9	0.6497454694568761	0.6781442996569131
Lasso	10	0.6423367415293346	0.6781305585523314
Ridge	1	0.6470721012283551	0.6779285480577965
Ridge	2	0.6893382122915974	0.6783084448953433
Ridge	3	0.6805642327062746	0.6783035284914801
Ridge	4	0.6739761383292839	0.6783463942553163
Ridge	5	0.6685268616164394	0.6782329793846533
Ridge	6	0.6806496931163261	0.6782561240174991
Ridge	7	0.6752773911141294	0.6782129401230249
Ridge	8	0.6445698608314216	0.6781521358061454
Ridge	9	0.6498451792193667	0.6781978865704125
Ridge	10	0.642260722461446	0.6781568266277668
Elastic	1	0.6471186007521768	0.6779185278546372
Elastic	2	0.6893751117984501	0.6782918590751436
Elastic	3	0.6805590649659568	0.6782625210762158
Elastic	4	0.6739169008879355	0.678305975400469
Elastic	5	0.6684676181775354	0.6782089878744273
Elastic	6	0.6806784790722632	0.6782338643393008
Elastic	7	0.6751627919769136	0.6781729491179821
Elastic	8	0.6445068725734859	0.6781126327646289
Elastic	9	0.6497705194109329	0.6781545880724396
Elastic	10	0.6423314035815949	0.6781379155842767
Random_Forest	1	0.7233546123602709	0.7553690723353074
Random_Forest	2	0.7563178205104167	0.7555142280466322
Random_Forest	3	0.7540482229459154	0.7562817650722925
Random_Forest	4	0.7492629764568531	0.7556080307810904
Random_Forest	5	0.7413345499840708	0.7558116898560769
Random_Forest	6	0.7542785963538596	0.7554943022692246
Random_Forest	7	0.7473485880676403	0.7558942680375883
Random_Forest	8	0.7348610655494039	0.7561005807376757
Random_Forest	9	0.7396358278869727	0.7556039810787588
Random_Forest	10	0.7276207358639475	0.7554416602417017
MLP	1	0.823545935696856	0.8490420028636202
MLP	2	0.8441564661066273	0.8463389338328691
MLP	3	0.851689119682698	0.8485733294388819
MLP	4	0.8485031837560685	0.8463299633505911
MLP	5	0.8441258152592743	0.8496052820778023
MLP	6	0.8444736945360396	0.8443167247405409
MLP	7	0.8443976714278192	0.8466604337697811
MLP	8	0.8244335076779397	0.8488475345207327
MLP	9	0.8564104001993322	0.8495177395003035
MLP	10	0.8421075583845088	0.8497577154389481
GBDT	1	0.8294563415233968	0.8570701325914862
GBDT	2	0.8551004701414113	0.8572049586472933
GBDT	3	0.8572509405891352	0.8571682922980165
GBDT	4	0.8585678478438871	0.8570554871663628
GBDT	5	0.8510553489182066	0.8573827890024629
GBDT	6	0.8572594596047307	0.8581226593072794
GBDT	7	0.8566171856402446	0.8567604993834438
GBDT	8	0.8316110904959565	0.8569703962512356
GBDT	9	0.8614432919307516	0.8576218052509035
GBDT	10	0.8460115086323021	0.8569971082038341
XGBoost	1	0.8370397411556232	0.8637940619975176
XGBoost	2	0.8614737224445632	0.8638990722598271
XGBoost	3	0.8637778575247003	0.8639224122171215
XGBoost	4	0.8656886064088013	0.8638613409495489
XGBoost	5	0.8598299229451606	0.8642817800561854
XGBoost	6	0.8631909702772125	0.8638519605321789
XGBoost	7	0.8643703327774025	0.863990128987517
XGBoost	8	0.8402435649906569	0.8641506679062471
XGBoost	9	0.8691432693697859	0.8638559599689757
XGBoost	10	0.8523065349000862	0.8643794017888485
