model label	region	model fold	sequence length	val spearman	test spearman
BiLSTM	both	1	23	0.8232632263161453	0.8494355816537321
BiLSTM	both	2	23	0.8469875506075892	0.8522373826877809
BiLSTM	both	3	23	0.8523022594430479	0.853452510301604
BiLSTM	both	4	23	0.8555390596929593	0.8523148072153489
BiLSTM	both	5	23	0.8457459445855743	0.8525882378214795
BiLSTM	both	6	23	0.8503641462552946	0.8501478717856663
BiLSTM	both	7	23	0.8503102725752579	0.8532341032031362
BiLSTM	both	8	23	0.8227453695561114	0.8520557766703224
BiLSTM	both	9	23	0.8534492726868143	0.8505874496920801
BiLSTM	both	10	23	0.8396523745381054	0.8511176932545528
BiLSTM	both	1	33	0.8571685521810587	0.8828859351284881
BiLSTM	both	2	33	0.8809053270674069	0.8838650441465398
BiLSTM	both	3	33	0.8842612921984944	0.8826968446982932
BiLSTM	both	4	33	0.8897185446968129	0.8861282801488138
BiLSTM	both	5	33	0.8820971827925493	0.8846969669770994
BiLSTM	both	6	33	0.8839644714869831	0.883794374749481
BiLSTM	both	7	33	0.8849220602860527	0.8850628055934381
BiLSTM	both	8	33	0.8601803726446855	0.8836331986001381
BiLSTM	both	9	33	0.893806054847606	0.8837375676082139
BiLSTM	both	10	33	0.8753920772347304	0.8845367283418564
BiLSTM	both	1	43	0.8650224434267985	0.8922176435624881
BiLSTM	both	2	43	0.8884688789112598	0.891771227914407
BiLSTM	both	3	43	0.8927254741684321	0.8902048365192972
BiLSTM	both	4	43	0.8940113013381301	0.8904687792767227
BiLSTM	both	5	43	0.8884315698283962	0.8904788109086759
BiLSTM	both	6	43	0.8911267475770683	0.8912190674765301
BiLSTM	both	7	43	0.8903271884469148	0.8897838596398165
BiLSTM	both	8	43	0.8681460354470266	0.8906169984964751
BiLSTM	both	9	43	0.898546257860405	0.8910428864168342
BiLSTM	both	10	43	0.881454932856897	0.8913279020889613
BiLSTM	both	1	53	0.8705280255838227	0.8964228578940298
BiLSTM	both	2	53	0.8898693372874437	0.8932661606503688
BiLSTM	both	3	53	0.8970609813142469	0.8958448286504397
BiLSTM	both	4	53	0.9008772554453444	0.8968391916588585
BiLSTM	both	5	53	0.8902154078109599	0.8926521397355281
BiLSTM	both	6	53	0.8936451558210924	0.8953932127461436
BiLSTM	both	7	53	0.8971367340221346	0.8966361434334231
BiLSTM	both	8	53	0.8740958243077477	0.8965650190747215
BiLSTM	both	9	53	0.9040297026006672	0.8955678781421538
BiLSTM	both	10	53	0.8848155652098381	0.8933191662872527
BiLSTM	both	1	63	0.8754345760289759	0.9006607326039928
BiLSTM	both	2	63	0.8959431487129423	0.9002240398335505
BiLSTM	both	3	63	0.9010363597991076	0.9009062634058704
BiLSTM	both	4	63	0.9040829930993098	0.8993306375753625
BiLSTM	both	5	63	0.8983753787214045	0.9003065457154996
BiLSTM	both	6	63	0.8985626638761273	0.9000275130506741
BiLSTM	both	7	63	0.8988161641185742	0.8996368467147752
BiLSTM	both	8	63	0.8798663814428295	0.9030775262369418
BiLSTM	both	9	63	0.9105553481432296	0.9017844554620676
BiLSTM	both	10	63	0.8926082506674122	0.9003938767448871
BiLSTM	downstream	1	23	0.8232632263161453	0.8494355816537321
BiLSTM	downstream	2	23	0.8469875506075892	0.8522373826877809
BiLSTM	downstream	3	23	0.8523022594430479	0.853452510301604
BiLSTM	downstream	4	23	0.8555390596929593	0.8523148072153489
BiLSTM	downstream	5	23	0.8457459445855743	0.8525882378214795
BiLSTM	downstream	6	23	0.8503641462552946	0.8501478717856663
BiLSTM	downstream	7	23	0.8503102725752579	0.8532341032031362
BiLSTM	downstream	8	23	0.8227453695561114	0.8520557766703224
BiLSTM	downstream	9	23	0.8534492726868143	0.8505874496920801
BiLSTM	downstream	10	23	0.8396523745381054	0.8511176932545528
BiLSTM	downstream	1	24	0.8340277998105085	0.8634281624574455
BiLSTM	downstream	2	24	0.857696291985342	0.8615728225263899
